 Total battles: 443979
 Total teams: 887958
 Total pokemon: 5327748
 + ---- + ------------------ + ------ + ------- + ------ + ------- + 
 | Rank | Pokemon            | Usage  | Percent | RealUse| RealPct | 
 | 119  | Cofagrigus         | 6615   |  0.745% | 5534   |  0.772% | 
 | 120  | Rhyperior          | 6614   |  0.745% | 5038   |  0.703% | 
 | 121  | Feraligatr         | 6504   |  0.732% | 5027   |  0.701% | 
 | 122  | Sandslash          | 6498   |  0.732% | 4788   |  0.668% | 
 | 123  | Lapras             | 6420   |  0.723% | 5200   |  0.725% | 
 | 124  | Suicune            | 6351   |  0.715% | 5009   |  0.699% | 
 | 125  | Honchkrow          | 6021   |  0.678% | 4728   |  0.660% | 
 | 126  | Lilligant          | 5977   |  0.673% | 4492   |  0.627% | 
 | 127  | Mr. Mime           | 5864   |  0.660% | 3652   |  0.509% | 
 | 128  | Aggron             | 5773   |  0.650% | 4532   |  0.632% | 
 | 129  | Bisharp            | 5746   |  0.647% | 4564   |  0.637% | 
 | 130  | Rotom-Heat         | 5723   |  0.645% | 4886   |  0.682% | 
 | 131  | Exeggutor          | 5451   |  0.614% | 4115   |  0.574% | 
 | 132  | Dusknoir           | 5409   |  0.609% | 4338   |  0.605% | 
 | 133  | Typhlosion         | 5294   |  0.596% | 4167   |  0.581% | 
 | 134  | Venomoth           | 5252   |  0.591% | 4311   |  0.601% | 
 | 135  | Golurk             | 5201   |  0.586% | 4350   |  0.607% | 
 | 136  | Krookodile         | 5168   |  0.582% | 4155   |  0.580% | 
 | 137  | Galvantula         | 5143   |  0.579% | 4105   |  0.573% | 
 | 138  | Hitmonlee          | 5126   |  0.577% | 4116   |  0.574% | 
 | 139  | Victreebel         | 4947   |  0.557% | 3741   |  0.522% | 
 | 140  | Tangrowth          | 4839   |  0.545% | 3817   |  0.533% | 
 | 141  | Drapion            | 4827   |  0.544% | 3974   |  0.554% | 
 | 142  | Eelektross         | 4687   |  0.528% | 3955   |  0.552% | 
 | 143  | Leafeon            | 4687   |  0.528% | 3546   |  0.495% | 
 | 144  | Lanturn            | 4686   |  0.528% | 3958   |  0.552% | 
 | 145  | Claydol            | 4605   |  0.519% | 3839   |  0.536% | 
 | 146  | Aron               | 4536   |  0.511% | 3456   |  0.482% | 
 | 147  | Yanmega            | 4518   |  0.509% | 3681   |  0.514% | 
 | 148  | Glaceon            | 4466   |  0.503% | 3302   |  0.461% | 
 | 149  | Walrein            | 4393   |  0.495% | 3403   |  0.475% | 
 | 150  | Shuckle            | 4347   |  0.490% | 3502   |  0.489% | 
 | 151  | Archeops           | 4283   |  0.482% | 3442   |  0.480% | 
 | 152  | Durant             | 4145   |  0.467% | 3489   |  0.487% | 
 | 153  | Spiritomb          | 4143   |  0.467% | 3444   |  0.480% | 
 | 154  | Houndoom           | 4120   |  0.464% | 3216   |  0.449% | 
 | 155  | Pikachu            | 4047   |  0.456% | 3243   |  0.452% | 
 | 156  | Gardevoir          | 3989   |  0.449% | 3213   |  0.448% | 
 | 157  | Cinccino           | 3965   |  0.447% | 3136   |  0.437% | 
 | 158  | Cobalion           | 3736   |  0.421% | 3210   |  0.448% | 
 | 159  | Shaymin            | 3729   |  0.420% | 2881   |  0.402% | 
 | 160  | Cradily            | 3633   |  0.409% | 2834   |  0.395% | 
 | 161  | Slowking           | 3607   |  0.406% | 3008   |  0.420% | 
 | 162  | Magmortar          | 3553   |  0.400% | 2880   |  0.402% | 
 | 163  | Registeel          | 3487   |  0.393% | 2887   |  0.403% | 
 | 164  | Jumpluff           | 3455   |  0.389% | 2807   |  0.392% | 
 | 165  | Riolu              | 3454   |  0.389% | 2601   |  0.363% | 
 | 166  | Shedinja           | 3399   |  0.383% | 2427   |  0.339% | 
 | 167  | Absol              | 3361   |  0.379% | 2697   |  0.376% | 
 | 168  | Volbeat            | 3347   |  0.377% | 2733   |  0.381% | 
 | 169  | Kabutops           | 3322   |  0.374% | 2568   |  0.358% | 
 | 170  | Flareon            | 3182   |  0.358% | 2534   |  0.354% | 
 | 171  | Steelix            | 3159   |  0.356% | 2653   |  0.370% | 
 | 172  | Serperior          | 3145   |  0.354% | 2494   |  0.348% | 
 | 173  | Accelgor           | 3138   |  0.353% | 2608   |  0.364% | 
 | 174  | Mismagius          | 3111   |  0.350% | 2558   |  0.357% | 
 | 175  | Clefable           | 3109   |  0.350% | 2437   |  0.340% | 
 | 176  | Magneton           | 3098   |  0.349% | 2538   |  0.354% | 
 | 177  | Moltres            | 3026   |  0.341% | 2448   |  0.342% | 
 | 178  | Medicham           | 2972   |  0.335% | 2381   |  0.332% | 
 | 179  | Torterra           | 2917   |  0.329% | 2364   |  0.330% | 
 | 180  | Shiftry            | 2896   |  0.326% | 2283   |  0.318% | 
 | 181  | Slaking            | 2867   |  0.323% | 2307   |  0.322% | 
 | 182  | Scolipede          | 2831   |  0.319% | 2383   |  0.332% | 
 | 183  | Weezing            | 2744   |  0.309% | 2273   |  0.317% | 
 | 184  | Raichu             | 2661   |  0.300% | 2188   |  0.305% | 
 | 185  | Drifblim           | 2637   |  0.297% | 2152   |  0.300% | 
 | 186  | Marowak            | 2623   |  0.295% | 2051   |  0.286% | 
 | 187  | Hitmonchan         | 2483   |  0.280% | 2038   |  0.284% | 
 | 188  | Swellow            | 2451   |  0.276% | 1870   |  0.261% | 
 | 189  | Omastar            | 2422   |  0.273% | 1927   |  0.269% | 
 | 190  | Liepard            | 2389   |  0.269% | 1992   |  0.278% | 
 | 191  | Rampardos          | 2365   |  0.266% | 1802   |  0.251% | 
 | 192  | Uxie               | 2316   |  0.261% | 2010   |  0.280% | 
 | 193  | Scyther            | 2238   |  0.252% | 1817   |  0.253% | 
 | 194  | Braviary           | 2207   |  0.249% | 1778   |  0.248% | 
 | 195  | Luxray             | 2177   |  0.245% | 1780   |  0.248% | 
 | 196  | Poliwrath          | 2130   |  0.240% | 1744   |  0.243% | 
 | 197  | Ursaring           | 2087   |  0.235% | 1646   |  0.230% | 
 | 198  | Carracosta         | 2054   |  0.231% | 1670   |  0.233% | 
 | 199  | Zangoose           | 2041   |  0.230% | 1649   |  0.230% | 
 | 200  | Samurott           | 2028   |  0.228% | 1724   |  0.241% | 
 | 201  | Nidoqueen          | 2024   |  0.228% | 1711   |  0.239% | 
 | 202  | Escavalier         | 2010   |  0.226% | 1625   |  0.227% | 
 | 203  | Jynx               | 1969   |  0.222% | 1499   |  0.209% | 
 | 204  | Miltank            | 1953   |  0.220% | 1519   |  0.212% | 
 | 205  | Altaria            | 1951   |  0.220% | 1588   |  0.222% | 
 | 206  | Emboar             | 1944   |  0.219% | 1647   |  0.230% | 
 | 207  | Pidgeot            | 1765   |  0.199% | 1427   |  0.199% | 
 | 208  | Rapidash           | 1730   |  0.195% | 1358   |  0.189% | 
 | 209  | Golem              | 1716   |  0.193% | 1481   |  0.207% | 
 | 210  | Ampharos           | 1709   |  0.192% | 1420   |  0.198% | 
 | 211  | Electrode          | 1704   |  0.192% | 1456   |  0.203% | 
 | 212  | Parasect           | 1698   |  0.191% | 1248   |  0.174% | 
 | 213  | Murkrow            | 1698   |  0.191% | 1328   |  0.185% | 
 | 214  | Rotom-Mow          | 1662   |  0.187% | 1390   |  0.194% | 
 | 215  | Manectric          | 1648   |  0.186% | 1358   |  0.189% | 
 | 216  | Regice             | 1645   |  0.185% | 1282   |  0.179% | 
 | 217  | Seismitoad         | 1631   |  0.184% | 1382   |  0.193% | 
 | 218  | Gigalith           | 1623   |  0.183% | 1424   |  0.199% | 
 | 219  | Floatzel           | 1605   |  0.181% | 1303   |  0.182% | 
 | 220  | Alomomola          | 1584   |  0.178% | 1236   |  0.172% | 
 | 221  | Muk                | 1554   |  0.175% | 1315   |  0.183% | 
 | 222  | Hariyama           | 1524   |  0.172% | 1204   |  0.168% | 
 | 223  | Mandibuzz          | 1514   |  0.171% | 1204   |  0.168% | 
 | 224  | Probopass          | 1480   |  0.167% | 1199   |  0.167% | 
 | 225  | Crawdaunt          | 1472   |  0.166% | 1099   |  0.153% | 
