 Total battles: 443596
 Total teams: 887192
 Total pokemon: 887192
 + ---- + ------------------ + ------ + ------- + 
 | Rank | Pokemon            | Usage  | Percent | 
 | 207  | Zangoose           | 243    |  0.027% |
 | 208  | Torkoal            | 242    |  0.027% |
 | 209  | Glaceon            | 242    |  0.027% |
 | 210  | Weezing            | 239    |  0.027% |
 | 211  | Miltank            | 237    |  0.027% |
 | 212  | Omastar            | 236    |  0.027% |
 | 213  | Ampharos           | 234    |  0.026% |
 | 214  | Shiftry            | 234    |  0.026% |
 | 215  | Rampardos          | 232    |  0.026% |
 | 216  | Rattata            | 229    |  0.026% |
 | 217  | Druddigon          | 224    |  0.025% |
 | 218  | Kabutops           | 222    |  0.025% |
 | 219  | Sandslash          | 220    |  0.025% |
 | 220  | Sawk               | 220    |  0.025% |
 | 221  | Hariyama           | 212    |  0.024% |
 | 222  | Ursaring           | 212    |  0.024% |
 | 223  | Marowak            | 208    |  0.023% |
 | 224  | Muk                | 207    |  0.023% |
 | 225  | Mr. Mime           | 202    |  0.023% |
 | 226  | Huntail            | 201    |  0.023% |
 | 227  | Jynx               | 200    |  0.023% |
 | 228  | Garbodor           | 185    |  0.021% |
 | 229  | Rapidash           | 179    |  0.020% |
 | 230  | Regice             | 176    |  0.020% |
 | 231  | Mandibuzz          | 174    |  0.020% |
 | 232  | Gligar             | 173    |  0.019% |
 | 233  | Butterfree         | 172    |  0.019% |
 | 234  | Floatzel           | 164    |  0.018% |
 | 235  | Regirock           | 162    |  0.018% |
 | 236  | Wigglytuff         | 160    |  0.018% |
 | 237  | Regigigas          | 159    |  0.018% |
 | 238  | Pinsir             | 159    |  0.018% |
 | 239  | Qwilfish           | 157    |  0.018% |
 | 240  | Swanna             | 155    |  0.017% |
 | 241  | Rotom              | 151    |  0.017% |
 | 242  | Wailord            | 151    |  0.017% |
 | 243  | Zebstrika          | 147    |  0.017% |
 | 244  | Pidgeot            | 147    |  0.017% |
 | 245  | Beedrill           | 145    |  0.016% |
 | 246  | Bouffalant         | 144    |  0.016% |
